ITER,ALPHA
0,701.235803
1,236.257189
2,236.257189
3,236.257189
4,236.257189
5,92.654849
6,92.654849
7,92.654849
8,27.404702
9,27.404702
10,27.404702
11,27.404702
12,27.404702
13,27.404702
14,27.404702
15,27.404702
16,27.404702
17,27.404702
18,27.404702
19,27.404702
20,27.404702
21,27.404702
22,27.404702
23,27.404702
24,27.404702
25,27.404702
26,27.404702
27,27.404702
28,27.404702
29,27.404702
30,27.404702
31,27.404702
32,27.404702
33,27.404702
34,27.404702
35,27.404702
36,27.404702
37,27.404702
38,27.404702
39,27.404702
40,27.404702
41,27.404702
42,27.404702
43,27.404702
44,27.404702
45,27.404702
46,27.404702
47,27.404702
48,27.404702
