ITER,ALPHA
0,674.136713
1,674.136713
2,374.975580
3,258.141775
4,218.927824
5,218.927824
6,218.927824
7,218.927824
8,218.927824
9,218.927824
10,180.850566
11,118.027891
12,118.027891
13,118.027891
14,118.027891
15,118.027891
16,82.470451
17,82.470451
18,82.470451
19,82.470451
20,82.470451
21,82.470451
22,82.470451
23,82.470451
24,82.470451
25,82.470451
26,82.470451
27,82.470451
28,82.470451
29,82.470451
30,82.470451
31,82.470451
32,82.470451
33,82.470451
34,82.470451
35,82.470451
36,82.470451
37,82.470451
38,82.470451
39,82.470451
40,82.470451
41,82.470451
42,82.470451
43,82.470451
44,82.470451
45,82.470451
46,82.470451
47,82.470451
48,82.470451
49,82.470451
50,82.470451
51,82.470451
52,82.470451
53,82.470451
54,82.470451
55,82.470451
