ITER,ALPHA
0,90.612853
1,90.612853
2,87.006285
3,87.006285
4,60.327887
5,60.327887
6,60.327887
7,60.327887
8,-6.953015
9,-6.953015
10,-57.121314
11,-57.121314
12,-57.121314
13,-57.121314
14,-158.476687
15,-158.476687
16,-158.476687
17,-158.476687
18,-158.476687
19,-158.476687
20,-158.476687
21,-158.476687
22,-158.476687
23,-158.476687
24,-158.476687
25,-158.476687
26,-158.476687
27,-158.476687
28,-158.476687
29,-158.476687
30,-158.476687
31,-158.476687
32,-158.476687
33,-158.476687
34,-158.476687
