ITER,ALPHA
0,1004.422138
1,1004.422138
2,315.415169
3,315.415169
4,315.415169
5,315.415169
6,315.415169
7,263.452556
8,263.452556
9,263.452556
10,118.133362
11,118.133362
12,118.133362
13,118.133362
14,118.133362
15,118.133362
16,118.133362
17,118.133362
18,118.133362
19,118.133362
20,118.133362
21,118.133362
22,118.133362
23,118.133362
24,118.133362
25,118.133362
26,118.133362
27,118.133362
28,118.133362
29,118.133362
30,118.133362
31,118.133362
32,118.133362
33,118.133362
34,118.133362
35,118.133362
36,118.133362
37,118.133362
38,118.133362
39,118.133362
40,118.133362
41,118.133362
42,118.133362
43,118.133362
44,118.133362
45,118.133362
46,118.133362
47,118.133362
48,118.133362
49,118.133362
