ITER,ALPHA
0,274.712689
1,274.712689
2,274.712689
3,131.318859
4,131.318859
5,109.468627
6,80.575275
7,80.575275
8,80.575275
9,80.575275
10,80.575275
11,80.575275
12,80.575275
13,76.370636
14,76.370636
15,76.370636
16,35.820309
17,24.854398
18,24.854398
19,24.854398
20,24.854398
21,24.854398
22,24.854398
23,24.854398
24,13.539651
25,13.539651
26,13.539651
27,-69.763631
28,-69.763631
29,-69.763631
30,-69.763631
31,-69.763631
32,-69.763631
33,-69.763631
34,-69.763631
35,-69.763631
36,-69.763631
37,-69.763631
38,-69.763631
39,-69.763631
40,-69.763631
41,-69.763631
42,-69.763631
43,-69.763631
44,-69.763631
45,-69.763631
46,-69.763631
47,-69.763631
48,-69.763631
49,-69.763631
50,-69.763631
51,-69.763631
52,-69.763631
53,-69.763631
54,-69.763631
55,-69.763631
56,-69.763631
57,-69.763631
58,-69.763631
59,-69.763631
60,-69.763631
61,-69.763631
62,-69.763631
63,-69.763631
64,-69.763631
65,-95.518802
66,-95.518802
67,-95.518802
68,-95.518802
69,-95.518802
70,-95.518802
71,-95.518802
72,-95.518802
73,-95.518802
74,-95.518802
75,-95.518802
76,-95.518802
77,-95.518802
78,-95.518802
79,-95.518802
