ITER,ALPHA
0,985.444016
1,511.255137
2,133.768755
3,133.768755
4,133.768755
5,133.768755
6,79.959485
7,79.959485
8,79.959485
9,79.959485
10,79.959485
11,79.959485
12,79.959485
13,79.959485
14,79.959485
15,53.501618
16,53.501618
17,53.501618
18,53.501618
19,53.501618
20,53.501618
21,53.501618
22,53.501618
23,53.501618
24,53.501618
25,53.501618
26,53.501618
27,53.501618
28,53.501618
29,53.501618
30,53.501618
31,53.501618
32,53.501618
33,53.501618
34,53.501618
35,53.501618
36,53.501618
37,53.501618
38,53.501618
39,53.501618
40,53.501618
41,53.501618
42,53.501618
43,53.501618
44,53.501618
45,53.501618
46,53.501618
47,53.501618
48,53.501618
49,53.501618
50,53.501618
51,53.501618
52,53.501618
53,53.501618
54,53.501618
