ITER,ALPHA
0,481.545172
1,481.545172
2,481.545172
3,205.741236
4,156.741604
5,91.670870
6,77.570730
7,77.570730
8,77.570730
9,73.144129
10,73.144129
11,73.144129
12,44.661979
13,44.661979
14,44.661979
15,44.661979
16,44.661979
17,44.661979
18,44.661979
19,44.661979
20,44.661979
21,44.661979
22,44.661979
23,44.661979
24,44.661979
25,44.661979
26,44.661979
27,44.661979
28,44.661979
29,44.661979
30,38.156465
31,38.156465
32,38.156465
33,38.156465
34,38.156465
35,38.156465
36,38.156465
37,38.156465
38,38.156465
39,-2.238894
40,-2.238894
41,-2.238894
42,-2.238894
43,-2.238894
44,-2.238894
45,-2.238894
46,-2.238894
47,-2.238894
48,-2.238894
49,-2.238894
50,-2.238894
51,-2.238894
52,-2.238894
53,-2.238894
54,-2.238894
55,-2.238894
56,-39.056908
57,-39.056908
58,-39.056908
59,-39.056908
60,-39.056908
61,-40.269836
62,-40.269836
63,-40.269836
64,-40.269836
65,-40.269836
66,-40.269836
67,-40.269836
68,-40.269836
69,-40.269836
70,-40.269836
71,-40.269836
72,-40.269836
73,-53.200353
74,-53.200353
75,-53.200353
76,-53.200353
77,-53.200353
78,-53.200353
79,-53.200353
