ITER,ALPHA
0,524.407672
1,524.407672
2,355.538596
3,258.251813
4,258.251813
5,258.251813
6,258.251813
7,220.206562
8,220.206562
9,179.143765
10,166.970595
11,166.970595
12,166.970595
13,166.970595
14,166.970595
15,166.970595
16,166.970595
17,166.970595
18,166.970595
19,166.970595
20,125.933693
21,125.933693
22,125.933693
23,125.933693
24,125.933693
25,125.933693
26,125.933693
27,125.933693
28,125.933693
29,60.284572
30,60.284572
31,60.284572
32,60.284572
33,60.284572
34,60.284572
35,60.284572
36,60.284572
37,60.284572
38,60.284572
39,60.284572
40,60.284572
41,60.284572
42,60.284572
43,60.284572
44,60.284572
45,60.284572
46,60.284572
47,60.284572
48,60.284572
49,60.284572
50,60.284572
51,60.284572
52,60.284572
53,60.284572
54,60.284572
55,60.284572
56,60.284572
57,60.284572
58,60.284572
59,60.284572
60,60.284572
61,60.284572
62,60.284572
63,60.284572
64,60.284572
65,60.284572
66,60.284572
67,60.284572
68,60.284572
69,60.284572
