ITER,ALPHA
0,378.881749
1,378.881749
2,378.881749
3,378.881749
4,378.881749
5,378.881749
6,378.881749
7,378.881749
8,149.526440
9,135.211041
10,135.211041
11,135.211041
12,135.211041
13,135.211041
14,135.211041
15,135.211041
16,135.211041
17,135.211041
18,135.211041
19,135.211041
20,119.708084
21,119.708084
22,119.708084
23,119.708084
24,119.708084
25,119.708084
26,119.708084
27,119.708084
28,119.708084
29,119.708084
30,119.708084
31,119.708084
32,119.708084
33,119.708084
34,119.708084
35,100.742378
36,100.742378
37,100.742378
38,100.742378
39,96.304908
40,96.304908
41,96.304908
42,85.160568
43,85.160568
44,85.160568
45,85.160568
46,85.160568
47,85.160568
48,85.160568
49,85.160568
50,83.926766
51,83.926766
52,83.926766
53,83.926766
54,83.926766
55,83.926766
56,83.926766
57,83.926766
58,83.926766
59,83.926766
60,83.926766
61,83.926766
62,83.926766
63,83.926766
64,83.926766
65,83.926766
66,83.926766
67,83.926766
68,83.926766
69,83.926766
70,83.926766
71,83.926766
72,83.926766
73,83.926766
74,83.926766
75,83.926766
76,83.926766
77,83.926766
78,83.926766
79,83.926766
