ITER,ALPHA
0,580.858438
1,267.067303
2,187.055181
3,95.359406
4,80.767771
5,68.918268
6,68.918268
7,68.918268
8,68.918268
9,68.918268
10,68.918268
11,61.946009
12,61.946009
13,61.946009
14,61.946009
15,61.946009
16,61.946009
17,61.946009
18,61.946009
19,61.946009
20,53.490317
21,53.490317
22,53.490317
23,53.490317
24,53.490317
25,53.490317
26,53.490317
27,53.490317
28,32.012110
29,32.012110
30,32.012110
31,32.012110
32,32.012110
33,32.012110
34,32.012110
35,32.012110
36,32.012110
37,32.012110
38,32.012110
39,32.012110
40,32.012110
41,32.012110
42,32.012110
43,32.012110
44,32.012110
45,32.012110
46,32.012110
47,32.012110
48,32.012110
49,32.012110
50,32.012110
51,23.634072
52,23.634072
53,23.634072
54,23.634072
55,23.634072
56,23.634072
57,23.634072
58,23.634072
59,23.634072
60,23.634072
61,23.634072
62,23.634072
63,23.634072
64,23.634072
65,23.634072
66,23.634072
67,23.634072
68,23.634072
69,23.634072
70,23.634072
71,23.634072
72,23.634072
73,23.634072
74,23.634072
75,23.634072
76,23.634072
77,23.634072
78,23.634072
79,23.634072
