ITER,ALPHA
0,1212.275277
1,562.457708
2,562.457708
3,562.457708
4,435.173861
5,391.106186
6,254.069967
7,254.069967
8,254.069967
9,254.069967
10,254.069967
11,254.069967
12,254.069967
13,254.069967
14,254.069967
15,254.069967
16,254.069967
17,254.069967
18,254.069967
19,254.069967
20,254.069967
21,254.069967
22,254.069967
23,254.069967
24,254.069967
25,254.069967
26,254.069967
27,254.069967
28,173.817092
29,173.817092
30,173.817092
31,173.817092
32,173.817092
33,173.817092
34,163.232388
35,130.589553
36,130.589553
37,130.589553
38,130.589553
39,130.589553
40,118.151134
41,116.610620
42,-1.258048
43,-1.258048
44,-1.258048
45,-1.258048
46,-1.258048
47,-1.258048
48,-1.258048
49,-1.258048
50,-1.258048
51,-1.258048
52,-1.258048
53,-1.258048
54,-1.258048
55,-1.258048
56,-1.258048
57,-1.258048
58,-1.258048
59,-1.258048
60,-1.258048
61,-1.258048
62,-1.258048
63,-1.258048
64,-1.258048
65,-1.258048
66,-1.258048
67,-1.258048
68,-1.258048
69,-1.258048
70,-1.258048
71,-1.258048
72,-1.258048
73,-1.258048
74,-1.258048
75,-1.258048
76,-1.258048
77,-1.258048
78,-1.258048
79,-1.258048
