ITER,ALPHA
0,1194.644086
1,222.947947
2,222.947947
3,222.947947
4,158.777044
5,158.777044
6,103.098933
7,10.702726
8,10.702726
9,10.702726
10,10.702726
11,10.702726
12,10.702726
13,10.702726
14,10.702726
15,10.702726
16,10.702726
17,10.702726
18,10.702726
19,10.702726
20,10.702726
21,10.702726
22,10.702726
23,10.702726
24,10.702726
25,10.702726
26,10.702726
27,10.702726
28,10.702726
29,10.702726
30,10.702726
31,10.702726
32,10.702726
33,10.702726
34,10.702726
35,10.702726
36,10.702726
37,10.702726
38,10.702726
39,10.702726
40,10.702726
41,10.702726
42,10.702726
43,10.702726
44,10.702726
45,10.702726
46,10.702726
