ITER,ALPHA
0,911.973405
1,138.645696
2,138.645696
3,138.645696
4,136.713888
5,136.713888
6,136.713888
7,136.713888
8,136.713888
9,55.284408
10,55.284408
11,55.284408
12,55.284408
13,-11.837763
14,-11.837763
15,-11.837763
16,-11.837763
17,-11.837763
18,-11.837763
19,-11.837763
20,-11.837763
21,-11.837763
22,-11.837763
23,-11.837763
24,-11.837763
25,-11.837763
26,-11.837763
27,-11.837763
28,-11.837763
29,-11.837763
30,-11.837763
31,-11.837763
32,-24.754477
33,-24.754477
34,-24.754477
35,-24.754477
36,-24.754477
37,-24.754477
38,-24.754477
39,-69.666758
40,-69.666758
41,-69.666758
42,-69.666758
43,-69.666758
44,-69.666758
45,-69.666758
46,-69.666758
47,-69.666758
48,-69.666758
49,-69.666758
50,-69.666758
51,-69.666758
