ITER,ALPHA
0,-267.225148
1,-285.425626
2,-285.425626
3,-285.425626
4,-285.425626
5,-285.425626
6,-285.425626
7,-285.425626
8,-285.425626
9,-285.425626
10,-285.425626
11,-285.425626
12,-285.425626
13,-285.425626
14,-285.425626
15,-285.425626
16,-285.425626
17,-392.228937
18,-392.228937
19,-392.228937
20,-392.228937
21,-392.228937
22,-392.228937
23,-392.228937
24,-392.228937
25,-392.228937
26,-392.228937
27,-392.228937
28,-392.228937
29,-392.228937
30,-392.228937
31,-392.228937
32,-392.228937
33,-392.228937
34,-392.228937
35,-392.228937
36,-392.228937
