ITER,ALPHA
0,1207.513474
1,1207.513474
2,223.982225
3,223.982225
4,223.982225
5,223.982225
6,223.982225
7,223.982225
8,223.982225
9,223.982225
10,223.982225
11,223.982225
12,223.982225
13,223.982225
14,223.982225
15,223.982225
16,223.982225
17,223.982225
18,223.982225
19,223.982225
20,223.982225
21,223.982225
22,223.982225
23,179.819598
24,179.819598
25,179.819598
26,125.575712
27,86.690164
28,86.690164
29,86.690164
30,86.690164
31,86.690164
32,76.204915
33,76.204915
34,76.204915
35,51.676334
36,51.676334
37,51.676334
38,51.676334
39,51.676334
40,51.676334
41,51.676334
42,51.676334
43,51.676334
44,51.676334
45,51.676334
46,51.676334
47,51.676334
48,51.676334
49,51.676334
50,51.676334
51,51.676334
52,51.676334
53,51.676334
54,51.676334
55,51.676334
56,51.676334
57,51.676334
58,51.676334
59,51.676334
60,51.676334
61,51.676334
62,51.676334
63,51.676334
64,51.676334
65,51.676334
66,51.676334
67,51.676334
68,51.676334
69,51.676334
70,51.676334
71,51.676334
72,51.676334
73,51.676334
74,51.676334
