ITER,ALPHA
0,866.529452
1,866.529452
2,520.710674
3,520.710674
4,96.580447
5,96.020109
6,41.437464
7,41.437464
8,41.437464
9,41.437464
10,41.437464
11,41.437464
12,41.437464
13,41.437464
14,41.437464
15,41.437464
16,41.437464
17,41.437464
18,25.899096
19,25.899096
20,25.899096
21,25.899096
22,10.779416
23,10.779416
24,10.779416
25,10.779416
26,10.779416
27,10.779416
28,10.779416
29,2.218579
30,2.218579
31,2.218579
32,2.218579
33,2.218579
34,2.218579
35,2.218579
36,2.218579
37,2.218579
38,-1.663436
39,-1.663436
40,-1.663436
41,-1.663436
42,-1.663436
43,-1.663436
44,-1.663436
45,-1.663436
46,-1.663436
47,-1.663436
48,-1.663436
49,-1.663436
50,-1.663436
51,-1.663436
52,-1.663436
53,-1.663436
54,-1.663436
55,-1.663436
56,-1.663436
57,-1.663436
58,-1.663436
59,-1.663436
60,-1.663436
61,-1.663436
62,-1.663436
63,-1.663436
64,-1.663436
65,-1.663436
66,-1.663436
67,-1.663436
68,-1.663436
69,-1.663436
70,-1.663436
71,-1.663436
72,-1.663436
73,-1.663436
74,-1.663436
75,-1.663436
76,-32.319318
77,-32.319318
78,-32.319318
79,-32.319318
