ITER,ALPHA
0,852.055249
1,804.413200
2,221.647573
3,221.647573
4,221.647573
5,71.828655
6,71.828655
7,70.779687
8,70.779687
9,70.779687
10,70.779687
11,70.779687
12,60.826538
13,60.826538
14,60.826538
15,60.826538
16,60.826538
17,60.826538
18,60.826538
19,60.826538
20,47.147058
21,47.147058
22,47.147058
23,31.847034
24,31.847034
25,31.847034
26,31.847034
27,31.847034
28,31.847034
29,31.847034
30,25.596796
31,25.596796
32,-18.588043
33,-18.588043
34,-18.588043
35,-18.588043
36,-18.588043
37,-18.588043
38,-18.588043
39,-18.588043
40,-18.588043
41,-18.588043
42,-18.588043
43,-18.588043
44,-18.588043
45,-18.588043
46,-18.588043
47,-18.588043
48,-18.588043
49,-18.588043
50,-18.588043
51,-18.588043
52,-18.588043
53,-18.588043
54,-18.588043
55,-18.588043
56,-18.588043
57,-18.588043
58,-18.588043
59,-18.588043
60,-18.588043
61,-18.588043
62,-18.588043
63,-18.588043
64,-18.588043
65,-18.588043
66,-18.588043
67,-18.588043
68,-18.588043
69,-18.588043
70,-18.588043
71,-18.588043
