ITER,ALPHA
0,47.364586
1,27.977866
2,-95.616947
3,-95.616947
4,-180.961898
5,-180.961898
6,-180.961898
7,-180.961898
8,-180.961898
9,-180.961898
10,-180.961898
11,-202.952422
12,-202.952422
13,-202.952422
14,-539.110641
15,-539.110641
16,-539.110641
17,-539.110641
18,-539.110641
19,-539.110641
20,-700.287715
21,-700.287715
22,-700.287715
23,-700.287715
24,-700.287715
25,-700.287715
26,-700.287715
27,-700.287715
28,-700.287715
29,-700.287715
30,-700.287715
31,-700.287715
32,-700.287715
33,-700.287715
34,-700.287715
35,-700.287715
36,-700.287715
37,-700.287715
38,-700.287715
39,-700.287715
