ITER,ALPHA
0,-91.117786
1,-136.063181
2,-136.063181
3,-136.063181
4,-136.063181
5,-136.063181
6,-136.063181
7,-136.063181
8,-136.063181
9,-136.063181
10,-136.063181
11,-136.063181
12,-136.063181
13,-224.970246
14,-224.970246
15,-224.970246
16,-224.970246
17,-224.970246
18,-224.970246
19,-224.970246
20,-224.970246
21,-224.970246
22,-224.970246
23,-224.970246
24,-224.970246
25,-224.970246
26,-290.316189
27,-290.316189
28,-578.521306
29,-578.521306
30,-578.521306
31,-578.521306
32,-578.521306
33,-578.521306
34,-578.521306
35,-578.521306
36,-738.730826
37,-738.730826
38,-738.730826
39,-738.730826
40,-738.730826
41,-738.730826
42,-738.730826
43,-738.730826
44,-738.730826
45,-738.730826
46,-738.730826
47,-738.730826
48,-738.730826
49,-738.730826
50,-738.730826
51,-738.730826
52,-738.730826
53,-738.730826
54,-738.730826
55,-738.730826
