ITER,ALPHA
0,98.291429
1,90.522982
2,90.522982
3,48.518961
4,48.518961
5,-8.713623
6,-8.713623
7,-8.713623
8,-8.713623
9,-8.713623
10,-8.713623
11,-8.713623
12,-8.713623
13,-8.713623
14,-8.713623
15,-29.755041
16,-29.755041
17,-29.755041
18,-29.755041
19,-29.755041
20,-31.694085
21,-31.694085
22,-31.694085
23,-31.694085
24,-31.694085
25,-31.694085
26,-31.694085
27,-31.694085
28,-31.694085
29,-31.694085
30,-31.694085
31,-61.043153
32,-61.043153
33,-61.043153
34,-61.043153
35,-61.043153
36,-61.043153
37,-61.043153
38,-61.043153
39,-61.043153
40,-61.043153
41,-61.043153
42,-61.043153
43,-61.043153
44,-61.043153
45,-61.043153
46,-61.043153
47,-61.043153
48,-61.043153
49,-126.210778
50,-126.210778
51,-126.210778
52,-126.210778
53,-126.210778
54,-126.210778
55,-126.210778
56,-126.210778
57,-126.210778
58,-126.210778
59,-126.210778
60,-126.210778
61,-126.210778
62,-126.210778
63,-126.210778
64,-126.210778
65,-126.210778
66,-126.210778
67,-126.210778
68,-126.210778
