ITER,ALPHA
0,2186.169520
1,1694.624468
2,1694.624468
3,1531.516083
4,1531.516083
5,1531.516083
6,1531.516083
7,1138.558722
8,1138.558722
9,1138.558722
10,610.475081
11,610.475081
12,610.475081
13,610.475081
14,610.475081
15,610.475081
16,610.475081
17,610.475081
18,610.475081
19,606.991844
20,606.991844
21,606.991844
22,606.991844
23,606.991844
24,606.991844
25,606.991844
26,606.991844
27,606.991844
28,606.991844
29,606.991844
30,606.991844
31,606.991844
32,606.991844
33,606.991844
34,606.991844
35,606.991844
36,492.366627
37,492.366627
38,492.366627
39,492.366627
