ITER,ALPHA
0,-18.136573
1,-18.136573
2,-18.136573
3,-18.136573
4,-18.136573
5,-53.019585
6,-53.019585
7,-69.328510
8,-93.907518
9,-93.907518
10,-93.907518
11,-93.907518
12,-93.907518
13,-93.907518
14,-93.907518
15,-93.907518
16,-103.273050
17,-103.273050
18,-128.648729
19,-136.602504
20,-137.271793
21,-137.271793
22,-137.271793
23,-137.271793
24,-137.271793
25,-137.271793
26,-137.271793
27,-137.271793
28,-137.271793
29,-137.271793
30,-137.271793
31,-137.271793
32,-137.271793
33,-137.271793
34,-137.271793
35,-137.271793
36,-137.271793
37,-137.271793
38,-137.271793
39,-137.271793
