ITER,ALPHA
0,234.920963
1,192.730540
2,175.609995
3,166.847480
4,30.955795
5,30.955795
6,21.243571
7,21.243571
8,0.756307
9,0.756307
10,0.756307
11,0.756307
12,0.756307
13,0.756307
14,0.756307
15,0.756307
16,0.756307
17,-12.388227
18,-12.388227
19,-12.388227
20,-12.388227
21,-12.388227
22,-43.270766
23,-43.270766
24,-43.270766
25,-43.270766
26,-43.270766
27,-161.458114
28,-161.458114
29,-161.458114
30,-161.458114
31,-161.458114
32,-161.458114
33,-161.458114
34,-161.458114
35,-161.458114
36,-161.458114
37,-161.458114
38,-161.458114
39,-161.458114
