ITER,ALPHA
0,1081.010825
1,911.954156
2,782.304025
3,782.304025
4,665.348472
5,665.348472
6,665.348472
7,665.348472
8,563.022682
9,369.109625
10,272.291079
11,272.291079
12,272.291079
13,252.592696
14,194.594137
15,194.594137
16,194.594137
17,194.594137
18,194.594137
19,194.594137
20,194.594137
21,194.594137
22,194.594137
23,128.868061
24,128.868061
25,128.868061
26,128.868061
27,128.868061
28,128.868061
29,128.868061
30,128.868061
31,128.868061
32,128.868061
33,128.868061
34,128.868061
35,113.973120
36,113.973120
37,113.973120
38,113.973120
39,113.973120
