ITER,ALPHA
0,391.744501
1,142.346870
2,91.746819
3,91.746819
4,91.746819
5,89.879512
6,86.710814
7,-13.565737
8,-13.565737
9,-13.565737
10,-13.565737
11,-13.565737
12,-13.565737
13,-13.565737
14,-13.565737
15,-88.891367
16,-88.891367
17,-88.891367
18,-88.891367
19,-88.891367
20,-88.891367
21,-88.891367
22,-88.891367
23,-88.891367
24,-88.891367
25,-88.891367
26,-88.891367
27,-88.891367
28,-88.891367
29,-88.891367
30,-88.891367
31,-88.891367
32,-88.891367
33,-88.891367
34,-88.891367
35,-88.891367
