ITER,ALPHA
0,2206.220038
1,528.253684
2,528.253684
3,528.253684
4,528.253684
5,513.066036
6,513.066036
7,513.066036
8,513.066036
9,513.066036
10,513.066036
11,513.066036
12,513.066036
13,513.066036
14,513.066036
15,513.066036
16,513.066036
17,513.066036
18,513.066036
19,513.066036
20,513.066036
21,513.066036
22,513.066036
23,344.407485
24,344.407485
25,344.407485
26,344.407485
27,344.407485
28,344.407485
29,344.407485
30,344.407485
31,344.407485
32,344.407485
33,344.407485
34,344.407485
35,344.407485
36,344.407485
37,344.407485
38,344.407485
39,344.407485
