ITER,ALPHA
0,286.925091
1,76.507875
2,76.507875
3,76.507875
4,22.702002
5,22.702002
6,22.702002
7,22.702002
8,22.702002
9,22.702002
10,22.702002
11,22.702002
12,22.702002
13,16.876895
14,16.876895
15,16.876895
16,16.876895
17,16.876895
18,16.876895
19,16.876895
20,-45.313510
21,-45.313510
22,-45.313510
23,-45.313510
24,-45.313510
25,-45.313510
26,-53.504696
27,-53.504696
28,-53.504696
29,-53.504696
30,-53.504696
31,-53.504696
32,-53.504696
33,-53.504696
34,-53.504696
35,-53.504696
36,-53.504696
37,-53.504696
38,-53.504696
39,-53.504696
