ITER,ALPHA
0,482.508900
1,143.671030
2,143.671030
3,74.542329
4,74.542329
5,52.754965
6,52.754965
7,52.754965
8,52.754965
9,52.754965
10,52.754965
11,52.754965
12,-12.715566
13,-12.715566
14,-12.715566
15,-18.772555
16,-18.772555
17,-18.772555
18,-18.772555
19,-18.772555
20,-18.772555
21,-18.772555
22,-18.772555
23,-18.772555
24,-18.772555
25,-18.772555
26,-18.772555
27,-36.068331
28,-36.068331
29,-36.068331
30,-36.068331
31,-91.504003
32,-91.504003
33,-91.504003
34,-91.504003
35,-91.504003
36,-91.504003
37,-91.504003
38,-91.504003
39,-91.504003
