ITER,ALPHA
0,-50.183782
1,-50.183782
2,-73.056068
3,-73.056068
4,-73.056068
5,-73.056068
6,-73.056068
7,-73.056068
8,-73.056068
9,-73.056068
10,-80.125904
11,-80.125904
12,-80.125904
13,-80.125904
14,-80.125904
15,-80.125904
16,-80.125904
17,-80.125904
18,-100.807188
19,-100.807188
20,-100.807188
21,-100.807188
22,-100.807188
23,-100.807188
24,-100.807188
25,-100.807188
26,-100.807188
27,-100.807188
28,-100.807188
29,-100.807188
30,-100.807188
31,-100.807188
32,-100.807188
33,-100.807188
34,-100.807188
35,-100.807188
36,-100.807188
37,-100.807188
