ITER,ALPHA
0,1121.692951
1,900.690201
2,281.366243
3,281.366243
4,281.366243
5,281.366243
6,281.366243
7,186.187161
8,186.187161
9,186.187161
10,186.187161
11,186.187161
12,165.275664
13,165.275664
14,165.275664
15,165.275664
16,143.235508
17,143.235508
18,143.235508
19,143.235508
20,143.235508
21,143.235508
22,143.235508
23,143.235508
24,55.239803
25,55.239803
26,55.239803
27,55.239803
28,55.239803
29,55.239803
30,55.239803
31,55.239803
32,55.239803
33,55.239803
34,55.239803
35,55.239803
36,55.239803
37,55.239803
38,55.239803
39,55.239803
