ITER,ALPHA
0,1363.954180
1,1304.227410
2,1304.227410
3,1228.633419
4,1171.550305
5,999.296600
6,414.567033
7,414.567033
8,414.567033
9,414.567033
10,414.567033
11,414.567033
12,414.567033
13,414.567033
14,414.567033
15,414.567033
16,414.567033
17,414.567033
18,414.567033
19,297.371736
20,297.371736
21,297.371736
22,297.371736
23,297.371736
24,297.371736
25,297.371736
26,297.371736
27,297.371736
28,297.371736
29,297.371736
30,297.371736
31,297.371736
32,297.371736
33,297.371736
34,279.829339
35,279.829339
36,279.829339
37,279.829339
38,279.829339
39,279.829339
