ITER,ALPHA
0,349.901235
1,349.901235
2,349.901235
3,349.901235
4,349.901235
5,349.901235
6,349.901235
7,349.901235
8,349.901235
9,349.901235
10,349.901235
11,349.901235
12,349.901235
13,219.987533
14,81.973314
15,81.973314
16,81.973314
17,81.973314
18,81.973314
19,81.973314
20,27.758930
21,27.758930
22,27.758930
23,27.758930
24,27.758930
25,27.758930
26,27.758930
27,27.758930
28,27.758930
29,27.758930
30,27.758930
31,27.758930
32,27.758930
33,27.758930
34,27.758930
35,27.758930
36,27.758930
37,27.758930
38,27.758930
39,27.758930
